tDC,brutOK,tBB,err,tDW,errH,n,tH
443.1607259903103,True,0.2987587706933188,True,240.4411675175652,0.0,27,0.08678010988997861
455.9695447795093,True,0.3825148308258468,True,305.42082237661816,0.0,27,0.08672663952660656
551.5805920003913,True,0.33393165722006335,True,395.4308571604391,0.0,27,0.08700015688970096
660.0554212927818,True,0.5753880874055265,True,371.43556168302894,0.0,27,0.08671648746440853
397.13711633036536,True,0.27454654663724654,True,273.2027135530694,0.0,27,0.0869020615700774
431.9260322023183,True,0.1640016687924371,True,219.3771253593943,0.0,27,0.08706723006468235
295.00879187253304,True,0.37294277822018934,True,190.1675493707164,0.0039447731755424065,27,0.08676352649291724
498.31198976607993,True,0.19666523629322993,True,305.4341791430488,0.0,27,0.08697411504122834
710.8747886959463,True,0.2860235766586475,True,380.7673331660529,0.0,27,0.08704568659499805
439.9106776341796,True,0.29339542876600183,True,258.43392211633426,0.0,27,0.08668157865915192
581.1010250472464,True,0.2053962249703322,True,274.50654598780807,0.0,27,0.0873925498597086
442.57195140235126,True,0.508984606437557,True,373.6323728226125,0.0,27,0.0861288167405871
410.1445723402624,True,0.41431552555539636,True,261.4714411190814,0.0,27,0.08682688849353297
682.191078318283,True,0.5378421903422687,True,351.5724647191486,0.0,27,0.08714855987673895
436.2023289781064,True,0.16409374927803796,True,251.38543856640655,0.0,27,0.08685564486901708
406.2713003562142,True,0.38255627214631044,True,230.41883748956025,0.0012674271229404308,27,0.08706569776612534
505.87544398149475,True,0.28681224566180963,True,307.9602977668401,0.0,27,0.08674555381163349
572.5835462799296,True,0.5334090661152355,True,366.36563735858846,0.0,27,0.08695799127040692
503.07486474048346,True,0.21493951982949513,True,259.9113832176145,0.0,27,0.08694363912307539
391.4951834982882,True,0.3883424804963343,True,254.27856831811368,0.0060790273556231,27,0.08705778371172715
550.8780590025708,True,0.1408188500749084,True,253.30842100083828,0.0012254901960784314,27,0.08722593832716094
560.7797030243091,True,0.25163743120235316,True,361.5181863230343,0.0,27,0.08709913750432365
574.1465180180967,True,1.3690312500133621,True,422.57870719768107,0.0,27,0.08683682745917512
867.1141033992171,True,0.3258650093596506,True,537.5990497414023,0.0,27,0.08759325530011325
449.71159561537206,True,0.35306682377039494,True,290.57404823834077,0.0,27,0.08729501673826286
591.7552235187031,True,0.483317453897162,True,391.5382278307031,0.0,27,0.08664984901966605
514.9666357319802,True,0.2828427492013712,True,322.24681341488446,0.0,27,0.08640806952059818
622.5034167873673,True,0.22982613313131534,True,339.74177300530886,0.0016286644951140066,27,0.08727657058581952
659.6478376692781,True,0.4714371707128996,True,345.63503454306294,0.001221001221001221,27,0.08652314582007643
669.9883820644269,True,0.1495655503197148,True,330.21326871987964,0.0,27,0.0868964408270443
615.4058265383355,True,0.3888389039146228,True,267.03438532745673,0.0,27,0.08636095409685794
358.9643290033564,True,0.19496872776896013,True,257.89822477640377,0.0,27,0.08684744815846729
545.027882035356,True,0.2651540055486739,True,315.4787789764149,0.0,27,0.08784636677072397
610.4948072461411,True,0.2491034649483609,True,315.0678042854582,0.0,27,0.08690131977945367
524.0297860000283,True,0.21376860444933124,True,287.77739364886656,0.0,27,0.08702846811488658
638.7211553907642,True,0.3198108119409793,True,358.76907183167833,0.0,27,0.0867843318087558
403.21355999913067,True,0.3992804933638095,True,236.89434728585184,0.0,27,0.08679581418405291
695.4340360437831,True,0.26528787475870685,True,408.58336347931373,0.0,27,0.0870970158959133
670.6647376995534,True,0.47819145002923136,True,367.3938596621156,0.0,27,0.08675681464418378
456.9172501564026,True,0.14886524138316973,True,255.15759001589484,0.0,27,0.08641274552404207
632.5808086742958,True,0.17695517452661055,True,353.55490329675376,0.0,27,0.08710997718361843
613.9469627523795,True,0.3767098077429113,True,277.3621693356997,0.0,27,0.08769016728316328
316.02050942767943,True,0.2542390732873084,True,226.67820226739755,0.0,27,0.08698994431943728
516.8625757214613,True,0.2589288504128986,True,261.0394921050304,0.0,27,0.08679422363877004
