brutOK,err,tDW,errH,tBB,n,tH,tDC
True,True,347.8339501556807,0.0,2634.752069134265,27,0.08203156463695511,465.3154340106994
True,True,353.1509142069678,0.0,1626.1043869890273,27,0.08191411659767826,552.9298870048175
True,True,277.8927193851107,0.0,127.03621382003321,27,0.0810566171355718,459.70106520690024
True,True,352.3325087236507,0.0,4330.967043992132,27,0.08072646264469648,565.1236638659611
True,True,552.1656976650573,0.0,9089.135878020898,27,0.08187150348069114,895.8754079882056
True,True,461.6965817986056,0.006109979633401222,1269.1968999570236,27,0.08282560744029016,636.1732204178614
True,True,286.93288730402645,0.009861932938856016,898.5097906552255,27,0.08252444007496496,461.9982404867187
True,True,328.8424702050785,0.003236245954692557,3506.694135023281,27,0.08290985309803377,554.1257707712551
True,True,269.46125749964267,0.0,433.31766666637526,27,0.08210581681709136,450.69059090350163
True,True,387.1577880733336,0.0,2793.4128229971975,27,0.08224922768697568,668.2164502729263
True,True,266.4423438901495,0.02181818181818182,148.95136444829404,27,0.08240661184234749,471.56760038342327
True,True,366.5408306898406,0.015037593984962405,3208.8013789616525,27,0.08167948985119182,659.1661786993167
True,True,309.96729018806946,0.00823045267489712,873.9775586873293,27,0.08267263735863996,443.0632134476168
True,True,269.6853221083681,0.0,838.6207115836442,27,0.08089545443219864,326.02491953099764
True,True,224.50838804202664,0.0,717.4824841786176,27,0.0812997436396774,358.9181252934325
True,True,358.61218152925943,0.003766478342749529,4763.765008188784,27,0.08219428514892375,543.7517772273471
True,True,218.26333227694371,0.0,900.4353857599199,27,0.08170388300418913,474.75430630147457
True,True,325.18171894674504,0.005385996409335727,2776.268418179825,27,0.08195420922345728,471.8379235127941
True,True,395.718357913817,0.0019157088122605363,4563.635188154876,27,0.08149116764709316,550.2538661110319
True,True,281.7801924093681,0.008456659619450317,3059.7312210593373,27,0.08217401534192643,359.89666153461883
True,True,341.01699420716614,0.0,2582.7544019557536,27,0.08170276592518438,476.13474391400814
True,True,338.6282709294132,0.0,836.7021183172861,27,0.08192172897627238,571.3326163531747
True,True,564.3096666317433,0.0,2771.6840479988605,27,0.08168719755328754,841.9251431711018
True,True,404.1257119970396,0.029585798816568046,3467.992892023176,27,0.08293492997070134,596.0025610111188
True,True,349.4137951472242,0.0018796992481203006,450.38971579633653,27,0.0824082277832597,530.300134094432
True,True,340.0712166413931,0.017928286852589643,3788.0887289065868,27,0.08327438285080312,546.8846710864455
True,True,342.98499435785095,0.0,2696.8233620282263,27,0.08263339622458385,481.4018320059404
True,True,423.20330563763326,0.0255863539445629,1288.308228016831,27,0.08175804486176964,544.6925597886244
True,True,274.597392611516,0.004618937644341801,5523.240705020726,27,0.0814878592108287,366.0311995324894
True,True,285.9057297738379,0.00597609561752988,1306.7774293012917,27,0.08121716988684316,389.7942573336574
True,True,353.14554563124796,0.017241379310344827,846.0094506541888,27,0.08186183969725058,575.7469161180779
True,True,284.00037052822023,0.013207547169811321,5936.963269952685,27,0.08189265793769551,381.434246002195
True,True,331.4424774609506,0.0,417.7014181856066,27,0.08275686064714723,574.1498379793484
True,True,281.6166147617075,0.0,304.2131674342922,27,0.08211154642363751,479.8338504973799
True,True,359.2969435446251,0.0,1443.7842555344105,27,0.08159588965230179,565.382315631723
True,True,494.6920436108485,0.0,1353.45082601998,27,0.08217264924200694,756.0322296728069
True,True,370.02111593476286,0.0,2743.7542618718,27,0.08197871606765346,556.8267560156528
True,True,196.43791547976434,0.0037313432835820895,1555.7903899655987,27,0.08090052503060288,336.4171420689672
True,True,467.2120683128014,0.0,7243.983554188162,27,0.08183019391473137,532.1627404644258
True,True,412.0158115013813,0.0042643923240938165,5672.432964202017,27,0.08240038097568102,536.6225961285332
True,True,442.10005583326245,0.0071301247771836,6550.714062061161,27,0.08235589360581685,642.731503849583
True,True,344.0664755014171,0.0,342.10646571591496,27,0.08209814115604924,628.8447455902185
True,True,565.078467479907,0.0,5739.780990872532,27,0.08148044138955526,774.1792171727866
True,True,266.8794739551635,0.020793950850661626,2791.2490300368518,27,0.08064186450378782,393.8968844207314
True,True,408.80550890384865,0.003703703703703704,1736.6596159990877,27,0.08136087926312335,512.6765098733207
True,True,403.60357515358675,0.0,862.1745773901542,27,0.081237345435507,550.5268833496503
True,True,302.6675216824515,0.0,177.5189560915654,27,0.0820860428156537,578.8185886049177
True,True,388.30983951144543,0.006600660066006601,5943.858556915075,27,0.08199284741106294,622.6317207620014
True,True,356.67435121389906,0.0,577.882609795779,27,0.08230759245684173,503.6087342175759
True,True,271.96112623076056,0.0,396.8733218110477,27,0.08219957396285082,380.15695931748127
True,True,432.0748902814971,0.0,1166.0239394987002,27,0.08250629123732434,623.3832643774804
True,True,307.68083075236063,0.005190311418685121,2608.267490984872,27,0.0828463566901109,564.8505064018536
True,True,367.0837918583017,0.0,3085.7551449444145,27,0.08166055121602732,428.9027506231584
True,True,418.97061435421085,0.0,1566.0139905521646,27,0.08183304217628004,555.7327664509002
True,True,373.3381739136978,0.0,403.0344673277189,27,0.08224514913549112,549.0852060934735
True,True,360.63116332157875,0.00749063670411985,807.0052319671959,27,0.08180683162734344,560.3587126242928
True,True,332.73031498926383,0.001941747572815534,1052.0426826551557,27,0.08183763065347847,564.8572561331093
True,True,360.1124284681506,0.00423728813559322,602.4688037966067,27,0.08029455369776092,490.42146732099354
True,True,440.1917677288028,0.0,645.3635616538426,27,0.08232174746413536,573.8243642554153
True,True,294.0989623585826,0.0,1553.286415990442,27,0.08364608742599701,673.5171161126345
