tDC,tDW,err,tH,errH,n,tBB,brutOK
646.7714811608728,367.7073608403309,True,0.07993900306965325,0.0,27,3250.229890923947,True
359.35293854429176,253.2136613184488,True,0.08045826120107784,0.0,27,815.7921397942118,True
745.872750490283,360.06792808453054,True,0.08054806510506905,0.0,27,1699.9777525197715,True
483.6689880117774,326.90404046637315,True,0.08167266122014744,0.0,27,3935.42284402065,True
441.99805543757975,341.06782063775296,True,0.0801550201272592,0.007619047619047619,27,2603.061660891399,True
745.4240643419325,411.4619439933449,True,0.08184240784374061,0.0,27,1023.3302504057065,True
912.3126863967627,616.9023964903317,True,0.08045955468833571,0.008880994671403197,27,3187.9488709382713,True
593.8956686295569,343.809471066509,True,0.08086115976351073,0.017825311942959002,27,2758.3176740445197,True
505.7578911073506,300.0587256246945,True,0.0809857386364052,0.003787878787878788,27,1470.0285970466211,True
559.4890155189205,360.8451579840711,True,0.0819942881205386,0.0,27,2820.273819146678,True
437.82662344165146,231.37138385902205,True,0.08032792107050957,0.019762845849802372,27,439.42553451051936,True
536.1011559919765,418.5904926535758,True,0.08024855921456842,0.007692307692307693,27,8145.730455871671,True
569.8456217651255,322.013165599977,True,0.08080692237547712,0.0,27,146.03964069392532,True
556.350337137701,368.99104592605283,True,0.08067112514407433,0.0036900369003690036,27,2901.065973797813,True
511.6621570196003,315.4790402079622,True,0.07994943625274444,0.0,27,683.80177160725,True
464.07573900651187,333.19826091950137,True,0.0805495633654297,0.0,27,914.7954726746926,True
523.9782247744087,381.868860236584,True,0.08071413894004449,0.0,27,2510.021631140262,True
582.3762460204307,462.10127698723227,True,0.08081568566423025,0.0,27,1603.760251076892,True
449.8216670895504,388.582465161259,True,0.08093062015258187,0.010775862068965518,27,2990.958839189261,True
542.674183121158,371.2867417623504,True,0.08114845380002264,0.0,27,908.1720060203224,True
757.8482146685323,512.9042871089446,True,0.08149470121816414,0.0,27,3158.1967710517347,True
539.5910540181729,299.3634772574296,True,0.08174422601823672,0.0,27,163.40768488589674,True
454.7090699091892,327.94767366722226,True,0.07998740296248244,0.019230769230769232,27,2538.234659936279,True
539.3721649888903,296.6717486269772,True,0.08054219151970426,0.0,27,1128.9833346381783,True
471.8462519114837,343.6289599963597,True,0.08161387950173289,0.0,27,2719.332716194913,True
427.05360107885843,322.93611333395046,True,0.0805498008607437,0.0,27,458.37839799933136,True
435.4915294626897,299.8182412557071,True,0.08082818508604986,0.0,27,1802.6042664423585,True
483.6081075016409,348.696623646122,True,0.07929732100292433,0.0,27,4135.11773198843,True
381.93270245280405,270.22941816701655,True,0.08006087169664143,0.008771929824561403,27,4355.803935788572,True
428.10067089951855,269.0659128388183,True,0.08084399352620886,0.0,27,1238.8944109746565,True
573.4691101242788,272.2649330583711,True,0.0811033673449162,0.0,27,510.5272062122822,True
497.437463211827,342.708227640417,True,0.08050334021322074,0.02707581227436823,27,255.45053902481285,True
602.427895355504,357.7502455311612,True,0.08163475624053364,0.0,27,1368.6761299613863,True
466.56211810186505,268.57452072565343,True,0.08158775155693249,0.0,27,591.7866901960224,True
493.8206134131178,276.6219591075141,True,0.08033352158427622,0.0,27,1191.5389876812696,True
696.8218328630818,499.4862609956827,True,0.07974337946018971,0.005952380952380952,27,4388.449060032144,True
636.7117104320122,382.4963403794055,True,0.08041614115787762,0.0,27,976.7274599677572,True
504.7439864526192,309.7295676852809,True,0.08114044353825525,0.0,27,224.89257518794724,True
491.56037468928844,301.52377662307117,True,0.08104449329324839,0.02626641651031895,27,1504.8501355340704,True
340.63853035747474,280.4589505882605,True,0.08047099622960088,0.004301075268817204,27,1062.561300971235,True
491.4003460900858,309.16508300288115,True,0.08064503236927946,0.010714285714285714,27,247.92648384269947,True
664.3601098496999,372.1490580087098,True,0.08106115283486474,0.012280701754385965,27,1346.8000589637086,True
475.17812869045883,320.3989594709128,True,0.080845836609452,0.0018083182640144665,27,1837.219066452235,True
403.15685364961,252.25296436416866,True,0.07981968132860705,0.014314928425357873,27,2152.471701032482,True
534.9553005459408,275.40528655259146,True,0.08087296835077046,0.0037243947858473,27,348.40403877509135,True
476.3720782008022,296.3441361207515,True,0.08020095319130725,0.006024096385542169,27,679.8501265002415,True
481.03208178654313,313.07700153750676,True,0.08001839990086071,0.0,27,826.4292554813437,True
547.8379745553765,321.9448905438185,True,0.08106377790843097,0.013628620102214651,27,318.01003497093916,True
659.1709842905402,478.40758620295674,True,0.0808749900508718,0.005008347245409015,27,5372.8839659597725,True
443.29349137842655,338.583873069313,True,0.08103172590513774,0.014018691588785047,27,3000.859131105244,True
418.6502637299286,291.4887993486927,True,0.08041424511350993,0.0,27,4224.204136058688,True
432.3199544609947,323.7636932792763,True,0.08038903732835849,0.0,27,212.55574567476287,True
364.93017169861844,172.1556234125305,True,0.08035710599221967,0.0,27,263.4132982264938,True
463.61900600604713,381.30230375995427,True,0.08167969979970906,0.009727626459143969,27,3779.2925641406327,True
