n,tBB,brutOK,tH,tDC,errH,err,tDW
27,959.6064361743629,True,0.08268764978442864,218.30641695255923,0.0016155088852988692,True,64.68754784542728
27,494.5821079891175,True,0.08298996210135587,223.64300563508135,0.01717557251908397,True,70.90387163085065
27,46.77627088967711,True,0.08293764844741189,250.3114058391044,0.0,True,60.928846876148455
27,737.1115605346859,True,0.0834002613193233,197.05963196232915,0.0,True,47.36212262427076
27,534.7948003198125,True,0.08198660245087448,198.76962279900908,0.0,True,61.93712397653144
27,158.77116199616077,True,0.08253637194431555,230.47158938078655,0.00505902192242833,True,71.49259998476592
27,709.4830720064541,True,0.08320428609100027,205.76523171621375,0.0,True,71.44548749362212
27,172.16938227200166,True,0.08224572803878188,210.37183029820088,0.006920415224913495,True,63.82596567989542
27,270.617238804698,True,0.08190915513060276,253.366271781392,0.0,True,82.1016650996171
27,561.1063382239081,True,0.08435191711819197,200.64448683600253,0.0,True,53.39881165644094
27,917.8395017981529,True,0.08259824708552169,193.71835727244616,0.0,True,53.98148571839556
27,341.4709323909707,True,0.08228525960459429,308.7132265645778,0.0,True,85.44504574243108
27,1147.253661765717,True,0.08251473742891141,208.21400990952614,0.0,True,71.57720368274528
27,13550.708734197542,True,0.08177286935748501,218.1747708660127,0.0,True,68.51477901283134
27,886.1020212061703,True,0.08321208435175488,220.1639285882596,0.0,True,67.2619666344159
27,1703.712836955674,True,0.08331093511633626,257.48386247524695,0.0,True,75.440619320778
27,469.92777781561017,True,0.08226768368933411,167.84133661763164,0.007380073800738007,True,48.6937596864414
27,227.5128795299679,True,0.08308739887671683,245.15156334964558,0.0,True,70.35205947746798
27,492.8115858799881,True,0.08232273010880295,208.0732167435243,0.0016233766233766235,True,62.60281300195787
27,859.3764888122678,True,0.08172107329304343,173.15096304186486,0.0,True,56.3696290562141
27,465.02639891114086,True,0.08332488230466856,192.79028991237283,0.0,True,59.571384988074385
27,392.3728208368023,True,0.08317059212428207,183.74007403919543,0.0,True,58.404104564996324
27,506.75597111694515,True,0.08094197835787034,204.0452443761751,0.0,True,71.8552422898727
27,158.73958599598456,True,0.08462689257732395,222.73804613558406,0.0,True,57.75836691920927
27,525.9986766322982,True,0.08290666829786736,218.2088675485416,0.0,True,59.181298833296054
27,3148.3406180050224,True,0.08246511076586895,162.36076410083723,0.0,True,56.65167763733982
27,236.17913740454242,True,0.08240999794997796,202.0057096669916,0.009153318077803204,True,64.05964195002596
27,1626.1223233304918,True,0.08116059261164868,202.49638112727553,0.004158004158004158,True,84.8971357938416
27,4081.4324570819736,True,0.08166027076939378,183.15305862644757,0.012658227848101266,True,49.07257507997795
27,429.47987363335085,True,0.08145599669786921,258.53742589242756,0.005067567567567568,True,64.06449237777912
27,476.040229992941,True,0.0824301252384867,225.97009076906198,0.0,True,64.95985331467206
27,1360.6958693514268,True,0.0825320244431814,278.15063147093446,0.0,True,89.35721838338809
27,1448.585878048713,True,0.08221938922256551,260.61459042524035,0.0,True,58.97987292735793
27,962.0388939976692,True,0.08321244556174809,258.6173909397698,0.0034602076124567475,True,61.003236939417725
27,1243.7334202695638,True,0.08425241923439414,163.2052635308355,0.013422818791946308,True,56.98546874818617
27,4856.761808972806,True,0.08242025183813681,277.46611318605784,0.006968641114982578,True,93.34803335720075
27,442.8344320040196,True,0.08203746579672645,234.253044772361,0.0,True,89.31718500181367
27,385.5660031743658,True,0.08235239209886457,243.88649564934894,0.007155635062611807,True,67.53574479179942
27,465.9045294858515,True,0.0814816827440955,209.7575179118987,0.002074688796680498,True,63.094165721389494
27,1776.4757289551198,True,0.08088144134264112,310.0548124493798,0.0,True,116.32179682852612
27,221.7352612365392,True,0.08301566071608639,235.3014374218349,0.0018248175182481751,True,66.54989258134486
27,3385.8796008862555,True,0.08189506945108331,229.1048809087702,0.005597014925373134,True,98.59424356371164
27,2257.8061709646136,True,0.08410931668167713,229.29599809105554,0.0,True,61.44937011125831
27,529.3328395475529,True,0.08192594240772906,260.40062558298047,0.0,True,68.61045459582884
27,646.2577364873141,True,0.08163286967151594,304.84005132166203,0.0,True,87.55234992713667
27,1821.5697020059451,True,0.08403378787640238,265.09498150294854,0.0,True,60.53151675817988
27,1157.9901717486791,True,0.08369777299167228,259.4027698873297,0.0,True,103.83521866363783
27,773.8804631711295,True,0.08138041111515554,227.88348429215452,0.0,True,65.53929117140605
27,897.3897205665708,True,0.08245991645038805,194.8399443179369,0.0,True,54.42752522047978
27,701.9627736881375,True,0.08240973094120331,213.1563419597628,0.0,True,53.07871483989614
27,596.9968612480443,True,0.08440614633814923,214.34525552246234,0.0,True,82.80332719829555
27,649.0123521403542,True,0.08324024172509537,245.48798215109855,0.0016778523489932886,True,76.46561204455793
27,484.0279299921046,True,0.08347220496095231,217.30119377289984,0.007407407407407408,True,56.20134515761906
27,1340.1502180689324,True,0.08212846744430001,250.19928400012614,0.0,True,73.5542625084575
27,344.36486250654394,True,0.08356803233536739,228.15041323857648,0.0,True,78.31160607747734
27,801.3317228294909,True,0.08328428312085893,251.8614814249112,0.016863406408094434,True,84.67438586200748
27,792.1865123401707,True,0.08273906109460491,235.79649409900108,0.0,True,77.19999112669029
27,336.3656176146693,True,0.08265686646327418,242.5103235989809,0.0,True,87.94369357305446
27,308.86160646780183,True,0.08206165772020531,277.84675917149906,0.0,True,88.46521723067521
27,2202.0633295178413,True,0.08169041606739767,257.9970580011018,0.005681818181818182,True,71.214732332695
27,2028.70005951263,True,0.08241522433996717,225.63930758571422,0.008403361344537815,True,77.86286792179453
27,64.24959451477561,True,0.08308154145086644,220.8891827295619,0.0,True,50.45773707226746
27,1523.5849616583437,True,0.08256638196365762,224.64657117697325,0.0015060240963855422,True,57.44788498985906
27,266.49429067038,True,0.08354375185457003,272.93615855483546,0.0033500837520938024,True,72.86888082265197
